Time,Control,Theta,Phi
0.000000,-5.368088,-3.141590,0.000000
0.005000,-0.500000,-3.141590,0.000000
0.010000,-0.500000,3.132036,-0.025666
0.015000,-0.500000,3.121585,-0.053722
0.020000,-0.500000,3.110245,-0.084168
0.025000,-0.500000,3.098011,-0.117004
0.030000,-0.500000,3.084879,-0.152229
0.035000,-0.500000,3.070838,-0.189842
0.040000,-0.500000,3.055872,-0.229843
0.045000,-0.500000,3.039963,-0.272230
0.050000,-0.500000,3.023081,-0.317002
0.055000,-0.500000,3.005193,-0.364157
0.060000,-0.500000,2.986255,-0.413692
0.065000,-0.500000,2.966215,-0.465603
0.070000,-0.500000,2.945009,-0.519886
0.075000,-0.500000,2.922562,-0.576532
0.080000,-0.500000,2.898788,-0.635536
0.085000,-0.500000,2.873586,-0.696887
0.090000,-0.500000,2.846840,-0.760581
0.095000,-0.500000,2.818421,-0.826611
0.100000,-0.500000,2.788182,-0.894975
0.105000,-0.500000,2.755959,-0.965670
0.110000,-0.500000,2.721574,-1.038684
0.115000,-0.500000,2.684828,-1.113993
0.120000,-0.492892,2.645511,-1.191561
0.125000,-0.416141,2.603398,-1.271353
0.130000,-0.330238,2.558267,-1.353325
0.135000,-0.235249,2.509996,-1.437123
0.140000,-0.131853,2.458494,-1.522324
0.145000,-0.021550,2.403718,-1.608416
0.150000,0.093370,2.345690,-1.694853
0.155000,0.210050,2.284506,-1.781125
0.160000,0.325173,2.220339,-1.866734
0.165000,0.435045,2.153441,-1.951134
0.170000,0.500000,2.084136,-2.033745
0.175000,0.500000,2.012817,-2.114027
0.180000,0.500000,1.939893,-2.191697
0.185000,0.500000,1.865747,-2.266798
0.190000,0.500000,1.790771,-2.339383
0.195000,0.500000,1.715344,-2.409502
0.200000,0.500000,1.639831,-2.477202
0.205000,-0.500000,1.564564,-2.542521
0.210000,-0.500000,1.489840,-2.605494
0.215000,-0.500000,1.415924,-2.670666
0.220000,-0.500000,1.343191,-2.738067
0.225000,-0.500000,1.272048,-2.807724
0.230000,-0.500000,1.202921,-2.879668
0.235000,-0.500000,1.136249,-2.953947
0.240000,-0.500000,1.072473,-3.030641
0.245000,-0.500000,1.012027,-3.109830
0.250000,-0.484253,0.955334,3.091656
0.255000,-0.391313,0.902791,3.007491
0.260000,-0.301098,0.854745,2.920903
0.265000,-0.216721,0.811422,2.832232
0.270000,-0.140739,0.772972,2.741943
0.275000,-0.074819,0.739468,2.650487
0.280000,-0.019640,0.710915,2.558142
0.285000,0.024569,0.687279,2.465247
0.290000,0.057987,0.668490,2.372152
0.295000,0.081161,0.654455,2.279017
0.300000,0.094659,0.645079,2.185996
0.305000,0.099009,0.640275,2.093298
0.310000,-0.094673,0.639961,2.000984
0.315000,-0.080763,0.644077,1.909031
0.320000,-0.057129,0.652854,1.816604
0.325000,-0.023735,0.666321,1.723827
0.330000,0.019382,0.684495,1.630759
0.335000,0.071909,0.707385,1.537582
0.340000,0.133098,0.734982,1.444597
0.345000,0.201959,0.767240,1.352020
0.350000,0.277077,0.804085,1.260114
0.355000,0.356327,0.845406,1.169301
0.360000,0.437269,0.891037,1.079958
0.365000,0.500000,0.940762,0.992385
0.370000,0.500000,0.994322,0.906987
0.375000,0.500000,1.051430,0.824133
0.380000,0.500000,1.111816,0.743813
0.385000,0.500000,1.175190,0.665959
0.390000,0.500000,1.241253,0.590542
0.395000,0.500000,1.309697,0.517583
0.400000,0.500000,1.380207,0.447102
0.405000,0.500000,1.452470,0.379092
0.410000,0.500000,1.526185,0.313515
0.415000,-0.500000,1.601070,0.250325
0.420000,-0.500000,1.676869,0.189475
0.425000,-0.500000,1.753310,0.126406
0.430000,-0.500000,1.830017,0.061074
0.435000,-0.500000,1.906576,-0.006567
0.440000,-0.500000,1.982534,-0.076563
0.445000,-0.500000,2.057414,-0.148952
0.450000,-0.500000,2.130729,-0.223764
0.455000,-0.395717,2.201993,-0.301014
0.460000,-0.272130,2.270740,-0.380718
0.465000,-0.148599,2.336641,-0.462437
0.470000,-0.029644,2.399489,-0.545671
0.475000,0.081058,2.459195,-0.629884
0.480000,0.180819,2.515789,-0.714490
0.485000,0.268099,2.569410,-0.798914
0.490000,0.342481,2.620291,-0.882671
0.495000,0.404338,2.668727,-0.965368
0.500000,0.454471,2.715057,-1.046654
0.505000,0.493871,2.759637,-1.126214
0.510000,0.500000,2.802832,-1.203773
0.515000,0.500000,2.844999,-1.279110
0.520000,0.500000,2.886440,-1.352166
0.525000,0.500000,2.927428,-1.422921
0.530000,0.500000,2.968218,-1.491357
0.535000,0.500000,3.009044,-1.557459
0.540000,0.500000,3.050119,-1.621215
0.545000,0.500000,3.091630,-1.682613
0.550000,0.500000,3.133747,-1.741642
0.555000,0.500000,-3.106572,-1.798291
0.560000,0.494905,-3.062835,-1.852552
0.565000,0.469065,-3.018130,-1.904414
0.570000,0.441447,-2.972390,-1.953894
0.575000,0.412532,-2.925608,-2.001106
0.580000,0.382774,-2.877800,-2.046177
0.585000,0.352596,-2.829004,-2.089238
0.590000,0.322377,-2.779270,-2.130431
0.595000,0.292450,-2.728668,-2.169897
0.600000,0.263095,-2.677272,-2.207783
0.605000,0.234538,-2.625170,-2.244231
0.610000,0.206956,-2.572451,-2.279385
0.615000,0.180478,-2.519208,-2.313383
0.620000,0.155193,-2.465537,-2.346360
0.625000,0.131151,-2.411532,-2.378443
0.630000,0.108375,-2.357286,-2.409758
0.635000,0.086865,-2.302888,-2.440421
0.640000,0.066603,-2.248425,-2.470543
